2011-02-14 07:10:16 Notice: Notice (8): Undefined property: View::$Paginator in [/users/fred/Sites/mofocake/app/views/artists/index.ctp, line 5]
2011-02-14 07:29:52 Notice: Notice (8): Undefined property: View::$alphaPager in [/users/fred/Sites/mofocake/app/views/artists/alpha.ctp, line 4]
2011-02-14 07:30:02 Notice: Notice (8): Undefined index: Album in [/users/fred/Sites/mofocake/app/views/artists/alpha.ctp, line 30]
2011-02-14 07:51:33 Notice: Notice (8): Undefined index: id in [/users/fred/Sites/mofocake/app/controllers/artists_controller.php, line 23]
2011-02-14 07:51:33 Notice: Notice (8): Undefined variable: sql in [/users/fred/Sites/mofocake/app/models/artist.php, line 45]
2011-02-14 07:51:46 Notice: Notice (8): Undefined variable: sql in [/users/fred/Sites/mofocake/app/models/artist.php, line 45]
2011-02-16 03:54:43 Notice: Notice (8): Undefined variable: title in [/users/fred/Sites/mofobox-radio/app/views/artists/alpha.ctp, line 35]
2011-02-16 04:57:10 Notice: Notice (8): Undefined index: comments in [/users/fred/Sites/mofobox-radio/app/views/artists/view.ctp, line 10]
2011-02-16 05:07:26 Notice: Notice (8): Undefined property: View::$Session in [/users/fred/Sites/mofobox-radio/app/views/layouts/default.ctp, line 69]
2011-02-16 05:07:26 Notice: Notice (8): Undefined property: View::$Session in [/users/fred/Sites/mofobox-radio/app/views/layouts/default.ctp, line 69]
2011-02-16 05:28:34 Notice: Notice (8): Undefined index: length in [/users/fred/Sites/mofobox-radio/app/views/artists/view.ctp, line 70]
2011-02-16 06:18:31 Notice: Notice (8): Undefined variable: headingSize in [/users/fred/Sites/mofobox-radio/app/views/helpers/theme.php, line 20]
2011-02-16 11:51:44 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 12]
2011-02-16 11:51:44 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:51:44 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 19]
2011-02-16 11:51:44 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:51:44 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 26]
2011-02-16 11:51:44 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:51:50 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 12]
2011-02-16 11:51:50 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:51:50 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 19]
2011-02-16 11:51:50 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:51:51 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 26]
2011-02-16 11:51:51 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:51:54 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 12]
2011-02-16 11:51:54 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:51:54 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 19]
2011-02-16 11:51:54 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:51:54 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 26]
2011-02-16 11:51:54 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:51:59 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 12]
2011-02-16 11:51:59 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:51:59 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 19]
2011-02-16 11:51:59 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:51:59 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 26]
2011-02-16 11:51:59 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:52:05 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:52:05 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:52:05 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 26]
2011-02-16 11:52:05 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:52:09 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:52:09 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:52:09 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:52:14 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:52:14 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:52:14 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:52:19 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 15]
2011-02-16 11:52:19 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 22]
2011-02-16 11:52:19 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 11:52:24 Notice: Notice (8): Undefined variable: entry in [/users/fred/Sites/mofobox-radio/app/views/playlist/now_playing.ctp, line 29]
2011-02-16 12:04:29 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 13]
2011-02-16 12:04:29 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 16]
2011-02-16 12:04:29 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 21]
2011-02-16 12:04:29 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 24]
2011-02-16 12:04:29 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 29]
2011-02-16 12:04:29 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 32]
2011-02-16 12:04:34 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 13]
2011-02-16 12:04:34 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 16]
2011-02-16 12:04:34 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 21]
2011-02-16 12:04:34 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 24]
2011-02-16 12:04:34 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 29]
2011-02-16 12:04:34 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 32]
2011-02-16 12:04:37 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 13]
